Q/L/F,Performance(Q),Performance(L),Performance(F)
3408,1162.650934%,910.044771%,976.483368%
3432,1269.012430%,815.655984%,1006.935610%
3456,1191.996688%,1085.229855%,951.816480%
3480,1147.038170%,792.735588%,922.431158%
3504,1137.759270%,845.180899%,986.765594%
3528,1157.302001%,897.004302%,929.673886%
3552,1140.876932%,866.191926%,964.046793%
3576,1147.500405%,949.374739%,957.341335%
3600,1121.184149%,830.863177%,925.584409%
3624,1176.319965%,906.091184%,904.066564%
3648,1140.333595%,837.262769%,931.032686%
3672,1145.097037%,918.767741%,897.324042%
3696,1105.487887%,714.749751%,1018.165411%
3720,1153.589290%,860.898129%,894.535406%
3744,1185.988514%,858.042272%,855.281455%
3768,1147.071826%,912.576860%,905.982804%
3792,1122.590310%,697.871054%,1033.736698%
3816,1183.163343%,527.740682%,506.958164%
3840,1183.112449%,946.641333%,1063.353696%
