Q/F,24,48,72,96,120,144,168,192,216,240,264,288,312,336,360,384,408,432,456,480,504,528,552,576,600,624,648,672,696,720,744,768,792,816,840,864,888,912,936,960,984,1008,1032,1056,1080,1104,1128,1152,1176,1200,1224,1248,1272,1296,1320,1344,1368,1392,1416,1440,1464,1488,1512,1536,1560,1584,1608,1632,1656,1680,1704,1728,1752,1776,1800,1824,1848,1872,1896,1920
240,18.594415%,36.209186%,56.811947%,69.278596%,89.876911%,111.238384%,110.153946%,135.695189%,145.871024%,161.862344%,178.147607%,195.071874%,203.964061%,215.005169%,232.704355%,232.904046%,234.379839%,258.837022%,282.199501%,288.021512%,301.664739%,304.915490%,319.450655%,305.422821%,329.874094%,341.195251%,337.358885%,335.359673%,352.459717%,333.773971%,378.273879%,390.071865%,378.636839%,388.639527%,425.716913%,415.650642%,431.531275%,432.666755%,395.469503%,448.936735%,443.728571%,434.860567%,437.244278%,480.863026%,494.191534%,505.659651%,491.320628%,534.502558%,485.135381%,513.091688%,520.581428%,522.633412%,508.277586%,528.127447%,541.402590%,503.043431%,507.994862%,563.722334%,536.999448%,545.939868%,559.383780%,563.820399%,595.738996%,583.508339%,585.218828%,575.617018%,591.991445%,545.773337%,599.079031%,563.268276%,580.652478%,622.733734%,626.292698%,619.218693%,610.319162%,585.790604%,581.068692%,604.240547%,641.738041%,639.678162%
264,18.707162%,39.807207%,53.995321%,81.006541%,88.164666%,101.699404%,132.535690%,153.114471%,161.736833%,181.586724%,195.707525%,199.194584%,210.285259%,249.164821%,243.776575%,271.589112%,253.464564%,295.911571%,283.529368%,298.821454%,302.551319%,305.578037%,330.575335%,344.467026%,354.172702%,335.898922%,379.728533%,371.026859%,406.978497%,403.426194%,412.268015%,393.761825%,402.141947%,387.833616%,410.593957%,421.464875%,441.074903%,436.940042%,443.673430%,443.319557%,476.310835%,447.237099%,488.160301%,472.487125%,503.927155%,495.482450%,531.630570%,497.007414%,509.154779%,527.946051%,548.872106%,564.641646%,569.952685%,545.833237%,526.774202%,513.153485%,583.596705%,563.885250%,565.613283%,572.265803%,571.546769%,585.339687%,615.176916%,600.960842%,625.372800%,607.179912%,609.717009%,657.379432%,635.366249%,613.749903%,632.239516%,620.467578%,623.663934%,644.403722%,629.751901%,636.419033%,659.260873%,681.850777%,646.707231%,707.400311%
288,20.618857%,46.831410%,64.512817%,84.852649%,102.179859%,110.527452%,142.993302%,158.474749%,177.632054%,191.973804%,221.204914%,218.711251%,220.964192%,257.519955%,274.996805%,286.697821%,268.819898%,306.628195%,313.608058%,330.525753%,348.286314%,334.656265%,354.210541%,358.758302%,395.518317%,369.928204%,373.911319%,399.394055%,412.530388%,410.641051%,424.797551%,457.533816%,444.889960%,450.231963%,475.841696%,465.901950%,486.975075%,463.437784%,443.087165%,478.771745%,504.704692%,509.856042%,481.149841%,520.803352%,536.764213%,522.962958%,539.418025%,570.196506%,529.473527%,545.924830%,559.719435%,567.473069%,576.255170%,589.248719%,548.294908%,576.404641%,560.549994%,618.754753%,579.837430%,598.368867%,559.023666%,603.273655%,619.923221%,632.010207%,633.992649%,641.163559%,632.713596%,691.499480%,649.754326%,626.246344%,653.835652%,685.447949%,647.092502%,700.008879%,651.250963%,663.782350%,697.889143%,700.165314%,725.488154%,687.691912%
312,22.766712%,46.942551%,67.397072%,86.824092%,114.939353%,125.359285%,150.098821%,162.213127%,199.941145%,198.286837%,222.792267%,218.362355%,242.279095%,265.145957%,271.797103%,293.741418%,307.046893%,308.562687%,330.901814%,348.978650%,358.436150%,371.630299%,361.541786%,339.205327%,397.079809%,408.635556%,386.555700%,366.600092%,447.434871%,446.583362%,444.426416%,484.115821%,404.082500%,479.939091%,475.798367%,501.464250%,492.516747%,502.157775%,484.054524%,519.547763%,515.710601%,540.754401%,533.668799%,525.055712%,538.162679%,528.509439%,565.723519%,587.435937%,593.942278%,590.938995%,628.167770%,593.365204%,595.083704%,590.968195%,628.082357%,597.476159%,632.321054%,630.520932%,640.924933%,599.664701%,654.627478%,651.353395%,654.416064%,674.247754%,678.911540%,686.805466%,655.984925%,664.284781%,664.325906%,668.806129%,658.289892%,681.511883%,680.420586%,705.876452%,731.947101%,643.270337%,713.598289%,725.783757%,687.201168%,692.232641%
336,24.187874%,52.981536%,72.889150%,97.232168%,122.922777%,130.320493%,155.505578%,174.039722%,191.372628%,215.045699%,247.540621%,259.267986%,264.117252%,270.989084%,301.112790%,312.097988%,305.146925%,315.361865%,345.079770%,367.426757%,402.593055%,353.655524%,367.567479%,404.563823%,385.502081%,436.443003%,417.585832%,434.214028%,445.891465%,473.414640%,480.649264%,504.069346%,464.318418%,501.714329%,487.909391%,512.016424%,492.425150%,511.198130%,482.737641%,557.548926%,497.824154%,543.587879%,529.128711%,576.064059%,579.050701%,584.598373%,597.812785%,595.434009%,548.251463%,586.024046%,583.578397%,602.329904%,604.480491%,600.197703%,614.720932%,641.250056%,606.371879%,624.608816%,636.205840%,675.015774%,655.492470%,687.420002%,695.125330%,709.540148%,657.013305%,676.316159%,697.545826%,686.942257%,767.711909%,656.119134%,694.710331%,688.381171%,708.976813%,744.650603%,689.284528%,732.667062%,735.566008%,707.502540%,755.337175%,741.818125%
360,24.330939%,38.768658%,77.163741%,99.301998%,125.986870%,152.975097%,160.026195%,196.823929%,171.530460%,180.854680%,245.292606%,252.467443%,274.004559%,299.233964%,264.025293%,317.860375%,332.269682%,317.192382%,356.913985%,395.723133%,392.849879%,366.092528%,398.184755%,403.718126%,447.957245%,420.433530%,434.642566%,432.750068%,474.814224%,497.341683%,498.699906%,520.477090%,490.807843%,507.704093%,501.006019%,506.398668%,536.922220%,523.162170%,521.327908%,557.494156%,576.827607%,592.582250%,566.634714%,563.061893%,608.480878%,553.622084%,574.992234%,638.556412%,590.710036%,588.808649%,614.089664%,655.693563%,678.278098%,627.899054%,597.131113%,606.814529%,667.417457%,624.829481%,652.742931%,658.551801%,695.975820%,669.531530%,729.682408%,689.515374%,693.750708%,706.080158%,712.247334%,689.999300%,732.914464%,703.838885%,704.219986%,715.569000%,724.257805%,736.697810%,736.965876%,726.621156%,753.135677%,784.814654%,759.811508%,768.272096%
384,28.943076%,56.459075%,79.490248%,109.854669%,135.058049%,157.019258%,184.291336%,189.542610%,204.953905%,243.618110%,265.784311%,269.200523%,285.352558%,322.821839%,331.671855%,324.144529%,321.643075%,345.906857%,387.225660%,363.600318%,416.959669%,389.087849%,393.755342%,399.439534%,452.728085%,435.497738%,466.553184%,459.869944%,502.895496%,493.513465%,501.974841%,507.866640%,503.275915%,502.333316%,528.765160%,564.127252%,513.648824%,518.728252%,570.535511%,583.251975%,607.096335%,558.450415%,568.208605%,592.553301%,581.540995%,604.803510%,599.853396%,633.267751%,616.288957%,632.034554%,643.887854%,662.622169%,648.596162%,643.858462%,643.176751%,704.461467%,665.618623%,679.827378%,651.771501%,664.827288%,714.718164%,645.972697%,682.605118%,730.320898%,717.416933%,708.847018%,725.619298%,702.146942%,760.441392%,741.146349%,762.121567%,750.656543%,761.717138%,782.228936%,749.141761%,736.851366%,760.316758%,806.006636%,790.608173%,798.647148%
408,28.790622%,54.167952%,70.041384%,113.883225%,136.345266%,171.500537%,192.500258%,192.319944%,220.342861%,255.172191%,269.318294%,274.212864%,312.909681%,313.578826%,349.358688%,324.544014%,343.125342%,369.843805%,394.086886%,373.881689%,416.711408%,408.178723%,417.620449%,445.886411%,456.044582%,456.638597%,452.819573%,489.102273%,484.931696%,512.968605%,503.759501%,548.499409%,505.813477%,519.687722%,558.452962%,542.491666%,536.254504%,571.730002%,572.475294%,625.910869%,589.665032%,629.283705%,575.044019%,569.369284%,602.528843%,639.317863%,632.806022%,684.629757%,641.589854%,639.408704%,658.641081%,681.989820%,706.488097%,647.966798%,698.251915%,712.091123%,712.488915%,740.113629%,730.412693%,716.965089%,755.136286%,720.762530%,789.565420%,734.080166%,736.163749%,714.111178%,747.301902%,768.934062%,796.731405%,804.910915%,766.204941%,766.589263%,788.841857%,616.374358%,782.321859%,763.860109%,793.519471%,822.106844%,811.579173%,856.192379%
432,30.818551%,64.549719%,91.834498%,125.052297%,146.192661%,173.497151%,192.778765%,215.247475%,245.710373%,245.431776%,252.020181%,286.951084%,305.727413%,341.601584%,334.071876%,380.816119%,378.149192%,395.726292%,428.235332%,423.396614%,467.975438%,435.852247%,466.421050%,461.391478%,498.940329%,501.518128%,482.657222%,484.839527%,545.870646%,544.891429%,528.864099%,567.556671%,539.129371%,569.628503%,563.911648%,580.296308%,632.440117%,592.320976%,625.486617%,564.405581%,639.163155%,617.286714%,654.213903%,630.921705%,644.646328%,668.924628%,715.240252%,710.885036%,655.378388%,658.327722%,742.294222%,688.540183%,711.693413%,680.345807%,692.964540%,698.507511%,762.489970%,767.234603%,740.006233%,694.245569%,725.893547%,737.384185%,742.176480%,763.939417%,734.159033%,781.035335%,799.226840%,780.138839%,807.887836%,780.044726%,765.047563%,788.846298%,816.796108%,798.875613%,788.366874%,818.860484%,804.468058%,809.060998%,821.505299%,863.398319%
456,32.080906%,64.763923%,98.295005%,116.877890%,151.195436%,180.655824%,214.427302%,221.660067%,253.483937%,282.374114%,297.273346%,317.999572%,330.964021%,359.457088%,363.768262%,387.586610%,407.182788%,407.218131%,434.882281%,440.491931%,469.812631%,464.466451%,472.812799%,469.274731%,507.219324%,531.641871%,488.284719%,507.041257%,538.714949%,539.109483%,571.196591%,565.018498%,506.639080%,526.343401%,632.618460%,631.373043%,626.153698%,603.641963%,619.473496%,625.483736%,665.537177%,657.387896%,636.288318%,639.991069%,688.536632%,678.004245%,686.572879%,735.087891%,654.442309%,677.605784%,708.280749%,731.321066%,736.236197%,735.120894%,742.483266%,755.121942%,771.565552%,738.347992%,768.295907%,762.644430%,765.498919%,756.970275%,806.183603%,817.541789%,769.489445%,821.535064%,815.465471%,840.822412%,840.515630%,796.203721%,808.551337%,807.480049%,808.825726%,795.988096%,813.040444%,831.631158%,861.827079%,832.261451%,883.767847%,861.689612%
